Nombre,Telefono_Limpio,Fecha_Contacto,Estado
Confitería San José 2,59174349639,2026-03-03 11:47:52,Enviado
Milanezas de la Uyuni Snack Santa Rita,59144485585,2026-03-03 11:49:20,Fallido: Número no tiene WhatsApp
Academia de Taekwondo Athletic,59160760369,2026-03-03 11:50:55,Enviado
ACADEMIA BUSHIDO KAI,59175998918,2026-03-03 11:52:00,Enviado
Dance Studio Jazz - Walter Albarracín -,59144285537,2026-03-03 11:52:57,Fallido: Número no tiene WhatsApp
CENTRO DE ARTES MARCIALES COCHABAMBA,59170783981,2026-03-03 11:53:57,Enviado
Academia de artes marciales Yongshi,59170382587,2026-03-03 12:01:31,Enviado
Casa de Funerales Garnica,59178300069,2026-03-03 12:03:03,Enviado
Casa De Funerales Rosedal,5914020008,2026-03-03 12:04:59,Fallido: Número no tiene WhatsApp
LAS MISIONES Casa de Funerales,59161610652,2026-03-03 12:06:02,Enviado
Servicios Bolivar Salones Velatorio Bethel,59160349992,2026-03-03 12:08:22,Enviado
Funeraria Rivas,59175934111,2026-03-03 12:10:26,Enviado
Yo amo los zapatos Cochabamba-Bolivia,59179955793,2026-03-05 16:49:14,Enviado
Querencia Calzados,59144523344,2026-03-05 16:50:15,Fallido: Número no tiene WhatsApp
𝐓𝐢𝐞𝐧𝐝𝐚 𝐃𝐞 𝐂𝐚𝐥𝐳𝐚𝐝𝐨𝐬 𝐂𝐚𝐫𝐌𝐞𝐥,59179746585,2026-03-05 16:51:55,Enviado
ZOI Calzados,59174577717,2026-03-05 16:53:50,Enviado
PICCADILLY,59144512450,2026-03-05 16:55:05,Fallido: Número no tiene WhatsApp
Muebles Cabrera,59162635668,2026-03-05 16:56:57,Enviado
Vicenza Casa Muebles,59179396860,2026-03-05 16:59:04,Enviado
Muebleria Lara,59162701312,2026-03-05 17:08:54,Enviado
Multicenter / Cochabamba / Tienda Uyuni,59179958566,2026-03-05 17:10:52,Fallido: Número no tiene WhatsApp
"Muebles, Adornos, Lamparas y Alfombras",59167407700,2026-03-05 17:13:03,Enviado
CONCRETENSA,59169410255,2026-03-05 17:14:47,Enviado
Silex Santivañez,5914353452,2026-03-05 17:16:46,Fallido: Número no tiene WhatsApp
CORRALON BERMEJO S.R.L.,591543878421946,2026-03-05 17:18:42,Fallido: Número no tiene WhatsApp
CENTRO DE ORIENTACION GRAFICA,59171270728,2026-03-05 17:20:15,Enviado
Sheep Sublimacion,59175946661,2026-03-05 17:21:43,Enviado
TEXMOD Cochabamba,59177763186,2026-03-05 17:29:59,Enviado
IMAGINA ARTE,59144583244,2026-03-05 17:32:07,Fallido: Número no tiene WhatsApp
I-DENTIDAD,59144258503,2026-03-05 17:33:53,Fallido: Número no tiene WhatsApp
Pasteleria El Edén,59144256082,2026-03-05 17:35:49,Fallido: Número no tiene WhatsApp
EL PANERO,59165368888,2026-03-05 17:37:56,Enviado
"Panadería Zahína ""Av. Perú""",59144282542,2026-03-05 17:40:10,Fallido: Número no tiene WhatsApp
Panaderia Il Gatto,59177601819,2026-03-05 17:42:11,Enviado
La Bourbonería,59176900693,2026-03-05 17:43:37,Enviado
Café BCP Cochabamba,59162626271,2026-03-05 17:45:44,Enviado
Huayllani la Hacienda del té,59179366535,2026-03-05 17:51:30,Enviado
Modena Café,59144489097,2026-03-05 17:53:20,Fallido: Número no tiene WhatsApp
Interactiva -Marketing & Publicidad-,59144799585,2026-03-05 17:54:23,Fallido: Número no tiene WhatsApp
Advertising & Estrategic (A&E Publicidad),59170652570,2026-03-05 17:56:01,Enviado
Agencia Kris,59144287238,2026-03-05 17:57:32,Enviado
InnovaT Marketing Digital,59165396170,2026-03-05 17:59:36,Enviado
